Publisher Name,Publisher Registry Id,Publisher Type,Timeliness,Forward looking,Comprehensiveness,Score
Satellite Applications Catapult Ltd,satelliteapplicationscatapultltd,Private Sector,12,33.333333333333336,62,36
Savana Signatures,savsign-org,National NGO,0,0.0,0,0
Save the Children DK,redbarnet,International NGO,50,0.0,58,36
Save the Children International,sci,International NGO,75,0.0,74,50
Save the Children Netherlands,scnl,International NGO,88,78.66666666666667,80,82
Save the Children UK,scuk,International NGO,25,0.0,60,28
SCI Projets Internationaux ASBL_Service Civil International branche belge,scibelgium,National NGO,12,0.0,0,4
Scotland's International Development Alliance,sinda,Regional NGO,0,0.0,80,27
Scottish Catholic International Aid Fund (SCIAF),sciaf,International NGO,100,66.66666666666667,77,81
"SDSN Association, Inc.",sdsna,International NGO,25,66.66666666666667,68,53
Search for Common Ground (SFCG),sfcg,International NGO,50,83.0,77,70
SECOURS CATHOLIQUE - CARITAS FRANCE,sccf,International NGO,0,8.666666666666666,68,26
Seefar,seefar,Private Sector,0,0.0,60,20
SeeYou Foundation,syf,International NGO,0,100.0,72,57
Sehat Kahani (Community Innovation Hub),sehatkahanicih,Private Sector,0,0.0,66,22
Self Help Africa,self-help-africa,International NGO,62,33.333333333333336,62,52
Send a Cow,sendacow,International NGO,50,16.666666666666668,72,46
Send a Cow Ethiopia,sacethiopia,National NGO,12,0.0,0,4
Send a Cow Kenya,sac_kenya,National NGO,25,0.0,0,8
Send a Cow Uganda,sacu,National NGO,0,0.0,58,19
Sense International,sense_international,International NGO,50,25.0,76,50
Sensorial Handicap Cooperation,shc,"Academic, Training and Research",12,0.0,0,4
Sexual Reproductive Health and Rights Africa Trust,srhr_africa_trust,Regional NGO,38,100.0,72,70
Shack Dwellers International - Kenya,sdi-k,National NGO,0,0.0,62,21
ShelterBox,shelterbox,International NGO,0,0.0,0,0
Shift Project Ltd.,shiftproject,International NGO,0,0.0,46,15
Shortlist Professionals Limited,shortlistogti,Private Sector,25,0.0,77,34
Sightsavers,ss-org,International NGO,75,51.333333333333336,86,71
Signal,signal,International NGO,0,0.0,77,26
SIHA Network,siharegional,Regional NGO,12,0.0,81,31
siiqqee Women's Development Association,swda,National NGO,38,100.0,71,70
Silsab Foundation,silsab1-_,National NGO,0,0.0,54,18
Simavi,simavi,Foundation,38,58.333333333333336,66,54
Simprints,simprints,International NGO,0,0.0,0,0
Siren Associates,siren,Private Sector,38,0.0,0,13
Slovenia - Ministry of Foreign Affairs,si-mfa,Government,0,33.333333333333336,63,32
Slum Dwellers International,sdi-int,International NGO,0,50.0,53,34
SNV Netherlands Development Organisation,snv,International NGO,50,8.333333333333334,80,46
SOAS University of London,soas,"Academic, Training and Research",0,0.0,0,0
Sociaal-Economische Raad,ser,Other Public Sector,0,23.333333333333332,65,29
Social Accountability International,social_accountability_international,International NGO,12,0.0,50,21
Social Development Direct Limited,sddirect,Private Sector,25,2.3333333333333335,68,32
"Social Fund for Development, Yemen",sfd-yemen,Other Public Sector,0,0.0,34,11
Social Impact Lab CIC,simlab,International NGO,0,0.0,59,20
Social Watch Benin,swb_1,National NGO,0,0.0,0,0
Société Nationale des eaux du Bénin (SONEB),soneb-benin,Other Public Sector,50,0.0,86,45
